,Unnamed: 0,field,field2,icon_full,league,team_name,icon_pair,capacity,undergrad_pop,match,id,notes
0,0,Commerica Park - Tigers ,,DET,MLB,Detroit Tigers,DET,"41,083",,Commerica Park - Tigers ,Co126,
1,1,Coors Field - Largest Park in the MLB,,COL,MLB,Colorado Rockies,COL,"50,398",,Coors Field - Largest Park in the  - mlb,Co194,
2,2,Fenway Park - Smallest Park in the MLB,,BOS,MLB,Boston Red Sox,BOS,"37,731",,Fenway Park - Smallest Park in the  - mlb,Fe155,
3,3,Battle Creek - Robert L Nichols Field - muni,2nd field at Bailey Park with MCCU Field,muni,,,,6000,,Robert L Nichols Field (Battle Creek) - muni,Ro181,
4,4,Boyne City County Park Muni,,muni,,,,175,,Boyne City County Park Muni,Bo145,
5,5,Coldwater Heritage Park - muni,,muni,,,,125,,Coldwater Heritage Park - muni,Co155,
6,6,Eaton Park - muni,,muni,,,,110,,Eaton Park - muni,Ea142,
7,7,Hancock Driving Park - Houghton Muni - muni,,muni,,,,465,,Hancock Driving Park - Houghton Muni - muni,Ha154,
8,8,Historic Hamtramck Stadium - muni,,muni,,,,1500,,Historic Hamtramck Stadium - muni,Hi114,
9,9,Historic Marsh Field Muskegon - Muni,,muni,GLSCL,Muskegon Clippers,,1000,,Historic Marsh Field Muskegon - Muni,Hi146,Great Lakes Summer Collegiate League
10,10,Kircher Municipal Field - muni,,muni,,,,500,,Kircher Municipal Field - muni,Ki115,
11,11,Royal Oak Memorial Park - muni,,muni,GLSCL,Royal Oak Leprechauns,,1500,,Royal Oak Memorial Park - muni,Ro141,Great Lakes Summer Collegiate League
12,12,Sanborn Park - Port Huron - muni,,muni,,,,250,,Sanborn Park - Port Huron - muni,Sa133,
13,13,The Corner Ballpark - Detroit - muni,,CORNER,,,,2500,,The Corner Ballpark - Detroit - muni,Th123,
14,14,Westside Park (Lansing) - muni,,muni,,,,200,,Westside Park (Lansing) - muni,We173,
15,15,Whaley Park - Flint - muni,,muni,,,,500,,Whaley Park - Flint - muni,Wh155,
16,16,Dow Diamond (Midland) ,,LOONS,Single-A,Great Lakes Loons,LOONS,5200,,Dow Diamond (Midland) ,Do154,
17,17,Homer Stryker Field (Kalamazoo),,pro,Northwoods,Kalamazoo Growlers,pro,3500,,Homer Stryker Field - (Kalamazoo) ,Ho177,
18,18,Jimmy Johns Stadium (Utica) ,,pro,USPBL,Multiple,pro,4500,,Jimmy Johns Stadium (Utica) ,Ji123,
19,19,Jackson Field (Lansing),,NUTS,Single-A,Lansing Lugnuts,NUTS,9527,,Jackson Field (Lansing) ,Ja114,
20,20,MCCU Field (Battle Creek),,pro,Northwoods,Battle Creek Battle Jacks,pro,2193,,MCCU Field - (Battle Creek) ,MC118,
21,21,Turtle Creek Stadium (Traverse City) ,,pro,Northwoods,Traverse City Pit Spitters,pro,4660,,Turtle Creek Stadium (Traverse City) ,Tu105,
22,22,LMCU Ballpark (Grand Rapids),,CAPS,Single-A,West Michigan Whitecaps ,CAPS,8942,,LMCU Ballpark (Grand Rapids) ,LM192,
23,23,Adrian College,Nicolay Field,adrian,NCAA-3,Adrian Bulldogs,small_coll,300,1805.0,Adrian College,Ad198,
24,24,Albion College ,Champions Stadium,albion,NCAA-3,Albion Britons,small_coll,350,1523.0,Albion College ,Al183,
25,25,Calvin University,Gainey Athletic Complex - Field 1 ,calvin,NCAA-3,Calvin Knights,small_coll,250,3068.0,Calvin University ,Ca133,
26,26,CMU ,Bill Theunissen Stadium,cmu,NCAA-1,Central Michigan Chippawa,cmu,2046,11417.0,CMU ,CM101,
27,27,Cornerstone University,De Witt Field,college,NAIA,Cornerstone Golden Eagles,small_coll,500,1507.0,Northwestern University  ,No181,
28,28,Davenport University ,Farmers Insurance Athletic Complex,davenport,NCAA-2,Davenport Panthers,small_coll,300,4352.0,Davenport University ,Da124,
29,29,EMU ,Oestrike Stadium,emu,NCAA-1,Easter Michigan Eagles,emu,"2,500",12730.0,EMU ,EM103,
30,30,Gainey Athletic Complex - Field 1 ,Calvin University,college,NCAA-3,Calvin Knights,small_coll,250,,Gainey Athletic Complex - Field 1 ,Ga121,
31,31,Gainey Athletic Complex - Field 2 ,Aquinas College,college,NCAA-3,Aquinas College Saints,small_coll,130,,Gainey Athletic Complex - Field 2 ,Ga102,
32,32,GVSU ,GVSU Baseball Field,gvsu,NCAA-2,Grand Valley State Lakers,small_coll,465,19379.0,GVSU ,GV193,
33,33,Hillsdale College ,,hillsdale,NCAA-2,Hillsdale Chargers,small_coll,,1515.0,Hillsdale College ,Hi176,## Building new field . Broke ground Oct 2022
34,34,Hope College,BOEVE BASEBALL STADIUM,hope,NCAA-3,Hope College Flying Dutchman,small_coll,400,3132.0,Hope College,Ho133,
35,35,Kalamazoo College ,Woodworth Field,kzoo,NCAA-3,Kalamazoo College Hornets,small_coll,312,1241.0,Kalamazoo College ,Ka107,
36,36,Alma College,Klenk Park,alma,NCAA-3,Alma College Scots,small_coll,150,1340.0,Klenk Park - (Alma College) ,Kl182,
37,37,McLane Stdium at Old College Field (MSU),McLane Stdium at Old College Field (MSU),msu,NCAA-1,Michigan State Spartans,msu,2500,38574.0,Old College Field (MSU) ,Ol176,
38,38,Northwood University ,Gerace Stadium,college,NCAA-2,Northwood Timberwolves,small_coll,200,2116.0,Northwood University ,No118,"guess, 1 small grandstand behind home plate"
39,39,Oakland University ,Oakland Baseball Field,oakland,NCAA-1,Oakland Golden Grizzlies,oakland,500,13771.0,Oakland University ,Oa169,
40,40,Olivet College ,Cutler Athletic Complex,olivet,NCAA-3,Olivet Comets,small_coll,100,851.0,Olivet College ,Ol150,
41,41,Saginaw Valley State ,SVSU Baseball Complex,svsu,NCAA-2,Saginaw Valley State Cardinals,small_coll,346,6789.0,Sagniaw Valley State ,Sa181,
42,42,U of M ,Ray Fisher Stadium,uofm,NCAA-1,Michigan Wolverines,uofm,4000,32282.0,U of M ,U 133,
43,43,Wayne State Univ ,Harwell Baseball Field,wayne,NCAA-2,Wayne State Warriors,small_coll,500,16839.0,Wayne State Univ ,Wa131,
44,44,WMU ,Hyames Field,wmu,NCAA-1,Western Michigan Broncos,wmu,1500,14587.0,WMU ,WM150,
45,45,Cleary University,Lake Trust Stadium,small_college,NAIA,Cleary University Cougars,small_coll,300,586.0,Calvin University ,Ca133,
