Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division,team_pair,Score1,Score2
 Round 1, 5/30/2023, 4:30 PM, St Clair Shores Lake Shore,Roseville,7-6 ,Warren Woods Tower,2-8 ,/gameeventdetails/contestid/3959020/schoolid/3837/view/contest,21,1,roseville_warren woods tower,,
 SemiFin, 6/3/2023, 2:00 PM, St Clair Shores Lake Shore,, ,Warren De La Salle Collegiate,5-21 ,/gameeventdetails/contestid/3959022/schoolid/0/view/contest,21,1,_warren de la salle collegiate,,
 SemiFin, 6/3/2023, 2:00 PM, St Clair Shores Lake Shore,St Clair Shores Lake Shore,10-6 ,Fraser,8-6 ,/gameeventdetails/contestid/3959021/schoolid/4471/view/contest,21,1,fraser_st clair shores lake shore,,
 Round 1, 5/25/2023, 2:15 PM, Royal Oak,Royal Oak,14-6 ,Sterling Heights,1-11 ,/gameeventdetails/contestid/3960810/schoolid/4456/view/contest,22,1,royal oak_sterling heights,,
 SemiFin, 6/2/2023, 10:00 AM, Royal Oak,, ,Berkley,7-13 ,/gameeventdetails/contestid/3960812/schoolid/0/view/contest,22,1,_berkley,,
 SemiFin, 6/2/2023, 12:30 PM, Royal Oak,Warren Mott,2-11 ,Warren Cousino,10-6 ,/gameeventdetails/contestid/3960811/schoolid/4080/view/contest,22,1,warren cousino_warren mott,,
 Round 1, TBA, , Woodhaven High School - Baseball - Brownstown,Wyandotte Roosevelt,11-10 ,Taylor,5-10 ,/gameeventdetails/contestid/3960795/schoolid/4356/view/contest,17,1,taylor_wyandotte roosevelt,,
 SemiFin, 6/3/2023, 2:00 PM, Woodhaven High School - Baseball - Brownstown,, ,Southgate Anderson,11-8 ,/gameeventdetails/contestid/3960797/schoolid/0/view/contest,17,1,_southgate anderson,,
 SemiFin, 6/3/2023, 4:30 PM, Woodhaven High School - Baseball - Brownstown,Gibraltar Carlson,10-12 ,Brownstown Woodhaven,17-9 ,/gameeventdetails/contestid/3960796/schoolid/4528/view/contest,17,1,brownstown woodhaven_gibraltar carlson,,
 Round 1, 5/25/2023, 4:00 PM, Edsel Ford High School - Baseball - Dearborn,Dearborn Edsel Ford,9-13 ,River Rouge,1-5 ,/gameeventdetails/contestid/3960799/schoolid/4209/view/contest,18,1,dearborn edsel ford_river rouge,,
 SemiFin, 6/3/2023, 10:00 AM, James Gulliver Field - Baseball - Allen Park,, ,Lincoln Park,1-22 ,/gameeventdetails/contestid/3960801/schoolid/0/view/contest,18,1,_lincoln park,,
 SemiFin, 6/3/2023, 12:00 PM, James Gulliver Field - Baseball - Allen Park,Allen Park,19-4-1 ,Dearborn,4-13-1 ,/gameeventdetails/contestid/3960800/schoolid/4288/view/contest,18,1,allen park_dearborn,,
 SemiFin, 6/3/2023, 10:00 AM, Berrien Springs High School - Baseball - berrien springs,Edwardsburg,10-8 ,Stevensville Lakeshore,7-3 ,/gameeventdetails/contestid/3960890/schoolid/4187/view/contest,45,2,edwardsburg_stevensville lakeshore,,
 SemiFin, 6/3/2023, 12:30 PM, Berrien Springs High School - Baseball - berrien springs,Niles,9-7 ,Berrien Springs,15-8 ,/gameeventdetails/contestid/3960889/schoolid/3892/view/contest,45,2,berrien springs_niles,,
 Round 1, 5/30/2023, 4:00 PM, Vicksburg High School (Baseball Game Field),Vicksburg,12-10 ,Sturgis,2-11 ,/gameeventdetails/contestid/3960892/schoolid/3906/view/contest,46,2,sturgis_vicksburg,,
 SemiFin, TBA, , Vicksburg High School (Baseball Game Field),, ,Dowagiac,3-10 ,/gameeventdetails/contestid/3960894/schoolid/0/view/contest,46,2,_dowagiac,,
 SemiFin, 6/3/2023, 10:00 AM, Vicksburg High School (Baseball Game Field),Paw Paw,10-10-1 ,Three Rivers,12-13 ,/gameeventdetails/contestid/3960893/schoolid/3864/view/contest,46,2,paw paw_three rivers,,
 Round 1, 5/30/2023, 4:15 PM, Thornapple Kellogg High School - Baseball - Middleville,East Grand Rapids,9-13 ,Grand Rapids Christian,18-3 ,/gameeventdetails/contestid/3960876/schoolid/4557/view/contest,41,2,east grand rapids_grand rapids christian,,
 SemiFin, TBA, , Thornapple Kellogg High School - Baseball - Middleville,, ,Grand Rapids West Michigan Aviation Academy,15-5 ,/gameeventdetails/contestid/3960878/schoolid/0/view/contest,41,2,_grand rapids west michigan aviation academy,,
 SemiFin, 6/3/2023, 12:00 PM, Thornapple Kellogg High School - Baseball - Middleville,Grand Rapids South Christian,18-8 ,Middleville Thornapple Kellogg,3-10 ,/gameeventdetails/contestid/3960877/schoolid/4160/view/contest,41,2,grand rapids south christian_middleville thornapple kellogg,,
 SemiFin, 6/3/2023, 10:00 AM, Grand Rapids Catholic Central,Wyoming Lee,2-15 ,Grand Rapids Catholic Central,3-7 ,/gameeventdetails/contestid/3962211/schoolid/4325/view/contest,42,2,grand rapids catholic central_wyoming lee,,
 SemiFin, 6/3/2023, 12:00 PM, Grand Rapids Catholic Central,Hudsonville Unity Christian,6-15 ,Wyoming Godwin Heights,2-12 ,/gameeventdetails/contestid/3962210/schoolid/4161/view/contest,42,2,hudsonville unity christian_wyoming godwin heights,,
 SemiFin, 6/3/2023, 10:00 AM, Algonac High School (Baseball Diamond),New Haven,14-4 ,Almont,11-8 ,/gameeventdetails/contestid/3961062/schoolid/4051/view/contest,93,3,almont_new haven,,
 SemiFin, 6/3/2023, 12:30 PM, Algonac High School (Baseball Diamond),Memphis,2-11 ,Algonac,22-2 ,/gameeventdetails/contestid/3961061/schoolid/4225/view/contest,93,3,algonac_memphis,,
 Round 1, 5/30/2023, 3:00 PM," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton",Burton Atherton,4-8 ,New Lothrop,9-13 ,/gameeventdetails/contestid/3961064/schoolid/4274/view/contest,94,3,burton atherton_new lothrop,,
 Round 1, TBA, ," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton",Montrose,7-5 ,Mt Morris,9-4 ,/gameeventdetails/contestid/3961065/schoolid/3995/view/contest,94,3,montrose_mt morris,,
 SemiFin, 6/3/2023, 10:00 AM," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton",, ,Burton Bentley,9-6 ,/gameeventdetails/contestid/3961067/schoolid/0/view/contest,94,3,_burton bentley,,
 SemiFin, 6/3/2023, 12:00 PM," Bentley High School (The ""Vuk"" (Named after Coach Jim Vukovich) - Burton",Burton Bendle,0-11 ,, ,/gameeventdetails/contestid/3961066/schoolid/4008/view/contest,94,3,_burton bendle,,
 SemiFin, 6/2/2023, 2:00 PM, Communication & Media Arts High School - Detroit (Stoepel Park),Detroit Communication Media Arts,8-3 ,Detroit Jalen Rose Leadership Academy,0-4 ,/gameeventdetails/contestid/3961050/schoolid/4613/view/contest,89,3,detroit communication media arts_detroit jalen rose leadership academy,,
 Final D, 6/2/2023, 4:30 PM, Communication & Media Arts High School - Detroit (Stoepel Park),, ,Detroit Loyola,0-5 ,/gameeventdetails/contestid/3961051/schoolid/0/view/contest,89,3,_detroit loyola,,
 SemiFin, 6/3/2023, 10:00 AM, Ecorse High School (Baseball Diamond),Detroit Cristo Rey,2-6 ,Hope Of Detroit Academy,2-2 ,/gameeventdetails/contestid/3961052/schoolid/7349/view/contest,90,3,detroit cristo rey_hope of detroit academy,,
 Final D, 6/3/2023, 12:00 PM, Ecorse High School (Baseball Diamond),, ,Ecorse,17-1 ,/gameeventdetails/contestid/3961053/schoolid/0/view/contest,90,3,_ecorse,,
 Round 1, 5/30/2023, 4:30 PM, Slater Field - New Buffalo,St Joseph Our Lady Of The Lake Catholic,11-7 ,New Buffalo,4-7-1 ,/gameeventdetails/contestid/3961135/schoolid/4474/view/contest,13,4,new buffalo_st joseph our lady of the lake catholic,11.0,1.0
 SemiFin, 6/3/2023, 9:30 AM, Slater Field - New Buffalo,, ,Three Oaks River Valley,8-16-1 ,/gameeventdetails/contestid/3961137/schoolid/0/view/contest,13,4,_three oaks river valley,,
 SemiFin, 6/3/2023, 11:30 AM, Slater Field - New Buffalo,St Joseph Michigan Lutheran,9-8 ,Eau Claire,0-13 ,/gameeventdetails/contestid/3961136/schoolid/3930/view/contest,13,4,eau claire_st joseph michigan lutheran,,
 SemiFin, 6/3/2023, 10:00 AM, Lawrence Fields,Gobles,10-5 ,Lawrence,12-6-1 ,/gameeventdetails/contestid/3961140/schoolid/3966/view/contest,14,4,gobles_lawrence,,
 SemiFin, 6/3/2023, 12:00 PM, Lawrence Fields,Marcellus,8-13 ,Decatur,16-2 ,/gameeventdetails/contestid/3961139/schoolid/4322/view/contest,14,4,decatur_marcellus,,
 Round 1, 5/30/2023, 4:00 PM, Trott Field - North Adams,Camden-Frontier,10-5 ,Pittsford,7-4 ,/gameeventdetails/contestid/3961156/schoolid/4348/view/contest,19,4,camden-frontier_pittsford,9.0,1.0
 SemiFin, 6/2/2023, 10:00 AM, Trott Field - North Adams,, ,Waldron,0-10 ,/gameeventdetails/contestid/3961158/schoolid/0/view/contest,19,4,_waldron,15.0,0.0
 SemiFin, 6/2/2023, 12:00 PM, Trott Field - North Adams,North Adams-Jerome,7-6 ,Reading,2-9 ,/gameeventdetails/contestid/3961157/schoolid/4296/view/contest,19,4,north adams-jerome_reading,6.0,4.0
 Round 1, 5/30/2023, 5:00 PM, Morenci,Adrian Lenawee Christian,1-8 ,Sand Creek,8-13 ,/gameeventdetails/contestid/3961160/schoolid/4601/view/contest,20,4,adrian lenawee christian_sand creek,17.0,7.0
 SemiFin, 6/3/2023, 10:00 AM, Morenci,, ,Britton Deerfield,7-10 ,/gameeventdetails/contestid/3961162/schoolid/0/view/contest,20,4,_britton deerfield,,
 SemiFin, 6/3/2023, 12:00 PM, Morenci,Petersburg Summerfield,10-5 ,Morenci,2-10 ,/gameeventdetails/contestid/3961161/schoolid/3968/view/contest,20,4,morenci_petersburg summerfield,,
 SemiFin, 6/3/2023, 10:00 AM, Detroit U-D Jesuit,Detroit U Of D Jesuit,9-20 ,Detroit Renaissance,0-3 ,/gameeventdetails/contestid/3960815/schoolid/4131/view/contest,23,1,detroit renaissance_detroit u of d jesuit,,
 Final D, 6/3/2023, 12:00 PM, Detroit U-D Jesuit,, ,Detroit Mumford,0-2 ,/gameeventdetails/contestid/3960816/schoolid/0/view/contest,23,1,_detroit mumford,,
 SemiFin, 6/3/2023, 10:00 AM, Warriors Park - Troy,Birmingham Seaholm,21-2 ,Southfield Arts & Technology,0-13 ,/gameeventdetails/contestid/3960818/schoolid/4430/view/contest,24,1,birmingham seaholm_southfield arts & technology,,
 SemiFin, 6/3/2023, 12:00 PM, Warriors Park - Troy,Birmingham Groves,15-10 ,Bloomfield Hills Brother Rice,21-6 ,/gameeventdetails/contestid/3960817/schoolid/4065/view/contest,24,1,birmingham groves_bloomfield hills brother rice,,
 Round 1, 5/30/2023, 4:30 PM, Historic Hamtramck Stadium,Dearborn Fordson,0-2 ,Hamtramck,1-0 ,/gameeventdetails/contestid/3960803/schoolid/4465/view/contest,19,1,dearborn fordson_hamtramck,,
 SemiFin, 6/2/2023, 2:30 PM, Historic Hamtramck Stadium,, ,Detroit Martin Luther King,0-4 ,/gameeventdetails/contestid/3960805/schoolid/0/view/contest,19,1,_detroit martin luther king,,
 SemiFin, 6/2/2023, 12:00 PM, Historic Hamtramck Stadium,Detroit Western,6-6 ,Detroit Cass Tech,11-7 ,/gameeventdetails/contestid/3960804/schoolid/4468/view/contest,19,1,detroit cass tech_detroit western,,
 SemiFin, 6/3/2023, 10:00 AM, Grosse Pointe North (Norsemen),Grosse Pointe South,13-5-1 ,St Clair Shores Lakeview,13-5 ,/gameeventdetails/contestid/3960808/schoolid/4004/view/contest,20,1,grosse pointe south_st clair shores lakeview,,
 SemiFin, 6/3/2023, 12:00 PM, Grosse Pointe North (Norsemen),Grosse Pointe North,12-6 ,Harper Woods,4-9 ,/gameeventdetails/contestid/3960807/schoolid/4545/view/contest,20,1,grosse pointe north_harper woods,,
 Round 1, 5/26/2023, 4:00 PM, CHS Baseball Complex (Lowe Field) - Coldwater,Coldwater,8-8 ,Battle Creek Pennfield,2-14 ,/gameeventdetails/contestid/3960896/schoolid/3868/view/contest,47,2,battle creek pennfield_coldwater,,
 SemiFin, 6/3/2023, 10:00 AM, CHS Baseball Complex (Lowe Field) - Coldwater,, ,Battle Creek Harper Creek,14-7 ,/gameeventdetails/contestid/3960898/schoolid/0/view/contest,47,2,_battle creek harper creek,,
 SemiFin, 6/3/2023, 12:00 PM, CHS Baseball Complex (Lowe Field) - Coldwater,Marshall,7-5 ,Parma Western,12-6 ,/gameeventdetails/contestid/3960897/schoolid/4548/view/contest,47,2,marshall_parma western,,
 Round 1, 5/30/2023, 4:00 PM, lakewood high school lake odessa - Baseball,Eaton Rapids,3-4 ,Charlotte,10-8 ,/gameeventdetails/contestid/3960900/schoolid/4168/view/contest,48,2,charlotte_eaton rapids,,
 SemiFin, 6/3/2023, 10:00 AM, lakewood high school lake odessa - Baseball,, ,Olivet,23-3 ,/gameeventdetails/contestid/3960902/schoolid/0/view/contest,48,2,_olivet,,
 SemiFin, 6/3/2023, 12:30 PM, lakewood high school lake odessa - Baseball,Lake Odessa Lakewood,9-14 ,Hastings,0-13 ,/gameeventdetails/contestid/3960901/schoolid/4352/view/contest,48,2,hastings_lake odessa lakewood,,
 Round 1, 5/30/2023, 4:15 PM, Hamilton HS,Holland,4-17 ,Hamilton,14-9 ,/gameeventdetails/contestid/3960880/schoolid/4381/view/contest,43,2,hamilton_holland,,
 SemiFin, 6/3/2023, 10:00 AM, Hamilton HS,, ,South Haven,10-10 ,/gameeventdetails/contestid/3960882/schoolid/0/view/contest,43,2,_south haven,,
 SemiFin, 6/3/2023, 12:00 PM, Hamilton HS,Holland Christian,12-10 ,Allegan,3-12-1 ,/gameeventdetails/contestid/3960881/schoolid/4431/view/contest,43,2,allegan_holland christian,,
 Round 1, 5/30/2023, 4:00 PM, Phil Regan Field - Wayland,Wayland,11-10 ,Plainwell,10-10-1 ,/gameeventdetails/contestid/3960884/schoolid/4565/view/contest,44,2,plainwell_wayland,,
 SemiFin, 6/3/2023, 10:00 AM, Phil Regan Field - Wayland,, ,Richland Gull Lake,14-14 ,/gameeventdetails/contestid/3960886/schoolid/0/view/contest,44,2,_richland gull lake,,
 SemiFin, 6/3/2023, 12:00 PM, Phil Regan Field - Wayland,Hopkins,4-6 ,Otsego,4-11 ,/gameeventdetails/contestid/3960885/schoolid/4260/view/contest,44,2,hopkins_otsego,,
 Round 1, 5/30/2023, 5:00 PM, Vassar High School - Baseball,Reese,18-5-1 ,Saginaw Valley Lutheran,10-11 ,/gameeventdetails/contestid/3961069/schoolid/4258/view/contest,95,3,reese_saginaw valley lutheran,,
 SemiFin, 6/3/2023, 10:00 AM, Vassar High School - Baseball,, ,Otisville Lakeville Memorial,2-11 ,/gameeventdetails/contestid/3961071/schoolid/0/view/contest,95,3,_otisville lakeville memorial,,
 SemiFin, 6/3/2023, 12:00 PM, Vassar High School - Baseball,Vassar,14-5-1 ,Millington,15-10 ,/gameeventdetails/contestid/3961070/schoolid/4096/view/contest,95,3,millington_vassar,,
 Round 1, 5/30/2023, 4:00 PM, Caro HS,Sandusky,16-7 ,Cass City,16-6-1 ,/gameeventdetails/contestid/3961073/schoolid/4516/view/contest,96,3,cass city_sandusky,,
 SemiFin, 6/3/2023, 10:00 AM, Caro HS,, ,Elkton-Pigeon-Bay Port Laker,8-16 ,/gameeventdetails/contestid/3961075/schoolid/0/view/contest,96,3,_elkton-pigeon-bay port laker,,
 SemiFin, 6/3/2023, 12:00 PM, Caro HS,Caro,11-8-1 ,Bad Axe,14-10 ,/gameeventdetails/contestid/3961074/schoolid/4125/view/contest,96,3,bad axe_caro,,
 SemiFin, 6/3/2023, 10:00 AM, Bishop Foley - Baseball - Madison Heights,Clawson,8-5 ,Madison Heights Bishop Foley,10-7 ,/gameeventdetails/contestid/3961059/schoolid/4543/view/contest,92,3,clawson_madison heights bishop foley,,
 SemiFin, 6/3/2023, 12:00 PM, Bishop Foley - Baseball - Madison Heights,Madison Heights Madison,1-10 ,Clinton Township Clintondale,6-5 ,/gameeventdetails/contestid/3961058/schoolid/3855/view/contest,92,3,clinton township clintondale_madison heights madison,,
 SemiFin, 6/2/2023, 12:00 PM, Colon MS/HS Athletic COmplex (Colon Athletic Complex),Tekonsha,4-3 ,Athens,0-12 ,/gameeventdetails/contestid/3961150/schoolid/4057/view/contest,17,4,athens_tekonsha,16.0,1.0
 SemiFin, 6/2/2023, 2:00 PM, Colon MS/HS Athletic COmplex (Colon Athletic Complex),Bellevue,0-6 ,Colon,4-11 ,/gameeventdetails/contestid/3961149/schoolid/4386/view/contest,17,4,bellevue_colon,13.0,3.0
 Round 1, 5/30/2023, 4:00 PM, East jackson - Baseball - Jackson,Vandercook Lake,0-10 ,East Jackson,4-14-2 ,/gameeventdetails/contestid/3961152/schoolid/4013/view/contest,18,4,east jackson_vandercook lake,16.0,0.0
 SemiFin, 6/2/2023, 12:00 PM, East jackson - Baseball - Jackson,, ,Addison,13-11 ,/gameeventdetails/contestid/3961154/schoolid/0/view/contest,18,4,_addison,,
 SemiFin, 6/2/2023, 2:30 PM, East jackson - Baseball - Jackson,Concord,11-8-2 ,Litchfield,1-9 ,/gameeventdetails/contestid/3961153/schoolid/4405/view/contest,18,4,concord_litchfield,5.0,0.0
 Round 1, 5/30/2023, 4:00 PM, Martin Baseball Field,Byron Center Zion Christian,17-5-1 ,Grand Rapids Sacred Heart,2-11 ,/gameeventdetails/contestid/3961142/schoolid/4034/view/contest,15,4,byron center zion christian_grand rapids sacred heart,4.0,0.0
 SemiFin, 6/3/2023, 1:00 PM, Martin Baseball Field,, ,Martin,3-8 ,/gameeventdetails/contestid/3961144/schoolid/0/view/contest,15,4,_martin,19.0,3.0
 SemiFin, 6/3/2023, 3:00 PM, Martin Baseball Field,Wyoming Potter'S House Christian,2-12 ,Wyoming Tri-Unity Christian,6-11 ,/gameeventdetails/contestid/3961143/schoolid/3963/view/contest,15,4,wyoming potter's house christian_wyoming tri-unity christian,,
 SemiFin, 6/2/2023, 1:30 PM, Mendon High School (John Schwartz Field),Mendon,16-3 ,White Pigeon,4-9 ,/gameeventdetails/contestid/3961147/schoolid/4492/view/contest,16,4,mendon_white pigeon,10.0,0.0
 SemiFin, 6/2/2023, 4:00 PM, Mendon High School (John Schwartz Field),Kalamazoo Hackett Catholic Prep,15-9-1 ,Kalamazoo Heritage Christian,2-8 ,/gameeventdetails/contestid/3961146/schoolid/4248/view/contest,16,4,kalamazoo hackett catholic prep_kalamazoo heritage christian,12.0,2.0
 Round 1, 5/30/2023, 4:00 PM, West Bloomfield,Waterford Mott,4-22 ,Orchard Lake St Mary'S,27-3 ,/gameeventdetails/contestid/3960831/schoolid/4275/view/contest,29,1,orchard lake st mary's_waterford mott,,
 SemiFin, 6/3/2023, 10:00 AM, West Bloomfield,, ,Waterford Kettering,11-11-1 ,/gameeventdetails/contestid/3960833/schoolid/0/view/contest,29,1,_waterford kettering,,
 SemiFin, 6/3/2023, 12:00 PM, West Bloomfield,West Bloomfield,16-6 ,Lake Orion,13-7 ,/gameeventdetails/contestid/3960832/schoolid/4287/view/contest,29,1,lake orion_west bloomfield,,
 Round 1, 5/30/2023, 4:30 PM, Lakeland HS - Baseball - White Lake,Milford,8-17-2 ,Walled Lake Central,14-12 ,/gameeventdetails/contestid/3960835/schoolid/4378/view/contest,30,1,milford_walled lake central,,
 SemiFin, 6/3/2023, 10:00 AM, Lakeland HS - Baseball - White Lake,, ,Walled Lake Northern,17-10 ,/gameeventdetails/contestid/3960837/schoolid/0/view/contest,30,1,_walled lake northern,,
 SemiFin, 6/3/2023, 12:15 PM, Lakeland HS - Baseball - White Lake,White Lake Lakeland,20-6 ,Walled Lake Western,14-12 ,/gameeventdetails/contestid/3960836/schoolid/3871/view/contest,30,1,walled lake western_white lake lakeland,,
 SemiFin, 6/2/2023, 9:30 AM, Stevenson High School - Sterling Heights,Utica Ford,6-6 ,Harrison Township L'Anse Creuse,7-17 ,/gameeventdetails/contestid/3960821/schoolid/4420/view/contest,25,1,harrison township l'anse creuse_utica ford,,
 SemiFin, 6/2/2023, 12:00 PM, Stevenson High School - Sterling Heights,Sterling Heights Stevenson,14-3 ,Clinton Township Chippewa Valley,10-11-1 ,/gameeventdetails/contestid/3960820/schoolid/4030/view/contest,25,1,clinton township chippewa valley_sterling heights stevenson,,
 Round 1, 5/26/2023, 4:00 PM, L'Anse Creuse North HS - Macomb (Baseball Diamond (near FB Field)),Macomb L'Anse Creuse North,11-9 ,New Baltimore Anchor Bay,9-8-1 ,/gameeventdetails/contestid/3960451/schoolid/4230/view/contest,26,1,macomb l'anse creuse north_new baltimore anchor bay,,
 SemiFin, 6/2/2023, 12:30 AM, Port Huron Northern - Baseball,, ,Port Huron,3-16 ,/gameeventdetails/contestid/3960453/schoolid/0/view/contest,26,1,_port huron,,
 SemiFin, 6/2/2023, 10:00 AM, Port Huron Northern - Baseball,Port Huron Northern,9-4 ,Macomb Dakota,5-6 ,/gameeventdetails/contestid/3960452/schoolid/4093/view/contest,26,1,macomb dakota_port huron northern,,
 Round 1, 5/30/2023, 5:00 PM, Gehringer Field - Baseball - Fowlerville,Haslett,2-9 ,Lansing Sexton,0-11 ,/gameeventdetails/contestid/3960943/schoolid/3984/view/contest,61,2,haslett_lansing sexton,,
 SemiFin, 6/3/2023, 10:00 AM, Gehringer Field - Baseball - Fowlerville,, ,Williamston,13-6-1 ,/gameeventdetails/contestid/3960945/schoolid/0/view/contest,61,2,_williamston,,
 SemiFin, 6/3/2023, 12:00 PM, Gehringer Field - Baseball - Fowlerville,Lansing Eastern,2-8 ,Fowlerville,4-10 ,/gameeventdetails/contestid/3960944/schoolid/4042/view/contest,61,2,fowlerville_lansing eastern,,
 Round 1, 5/30/2023, 4:00 PM, Owosso High School (Baseball Diamond),Lake Fenton,7-4 ,Owosso,4-6 ,/gameeventdetails/contestid/3960947/schoolid/4480/view/contest,62,2,lake fenton_owosso,,
 SemiFin, 6/3/2023, 10:00 AM, Owosso High School (Baseball Diamond),, ,Corunna,18-3 ,/gameeventdetails/contestid/3960949/schoolid/0/view/contest,62,2,_corunna,,
 SemiFin, 6/3/2023, 12:00 PM, Owosso High School (Baseball Diamond),Flint Powers Catholic,17-6-1 ,Linden,6-15 ,/gameeventdetails/contestid/3960948/schoolid/4009/view/contest,62,2,flint powers catholic_linden,,
 Round 1, 5/30/2023, 4:30 PM, Hazel Park High School (Baseball Diamond),Center Line,4-7 ,Eastpointe,0-5 ,/gameeventdetails/contestid/3960927/schoolid/4410/view/contest,57,2,center line_eastpointe,,
 SemiFin, 6/3/2023, 10:00 AM, Hazel Park High School (Baseball Diamond),, ,Hazel Park,9-9 ,/gameeventdetails/contestid/3960929/schoolid/0/view/contest,57,2,_hazel park,,
 SemiFin, 6/3/2023, 12:00 PM, Hazel Park High School (Baseball Diamond),Warren Fitzgerald,5-6 ,Madison Heights Lamphere,9-6 ,/gameeventdetails/contestid/3960928/schoolid/3880/view/contest,57,2,madison heights lamphere_warren fitzgerald,,
 Round 1, 5/30/2023, 4:30 PM, Richmond Baseball Facility,Richmond,12-3 ,Macomb Lutheran North,6-9 ,/gameeventdetails/contestid/3960931/schoolid/3848/view/contest,58,2,macomb lutheran north_richmond,,
 SemiFin, 6/3/2023, 10:00 AM, Richmond Baseball Facility,, ,Marysville,6-13 ,/gameeventdetails/contestid/3960933/schoolid/0/view/contest,58,2,_marysville,,
 SemiFin, 6/3/2023, 12:30 PM, Richmond Baseball Facility,St Clair,6-14 ,Marine City,6-3 ,/gameeventdetails/contestid/3960932/schoolid/4039/view/contest,58,2,marine city_st clair,,
 Round 1, 5/30/2023, 4:30 PM, Hemlock HS Baseball Field,Ovid-Elsie,4-14 ,St Louis,2-15 ,/gameeventdetails/contestid/3961004/schoolid/4104/view/contest,77,3,ovid-elsie_st louis,,
 SemiFin, 6/3/2023, 11:00 AM, Hemlock HS Baseball Field,, ,Chesaning,17-3 ,/gameeventdetails/contestid/3961006/schoolid/0/view/contest,77,3,_chesaning,,
 SemiFin, 6/3/2023, 1:00 PM, Hemlock HS Baseball Field,Hemlock,8-14 ,Ithaca,8-10 ,/gameeventdetails/contestid/3961005/schoolid/4425/view/contest,77,3,hemlock_ithaca,,
 Round 1, 5/30/2023, 5:00 PM, Durand High School - Baseball (Goudy Field),Bath,3-10 ,Perry,12-8 ,/gameeventdetails/contestid/3961008/schoolid/4346/view/contest,78,3,bath_perry,,
 SemiFin, 6/3/2023, 11:00 AM, Durand High School - Baseball (Goudy Field),, ,Durand,4-8 ,/gameeventdetails/contestid/3961010/schoolid/0/view/contest,78,3,_durand,,
 SemiFin, 6/3/2023, 1:00 PM, Durand High School - Baseball (Goudy Field),Laingsburg,21-5 ,Byron,3-9 ,/gameeventdetails/contestid/3961009/schoolid/3875/view/contest,78,3,byron_laingsburg,,
 Round 1, 5/30/2023, 5:00 PM, Watervliet - Baseball,Watervliet,11-1 ,Hartford,7-13 ,/gameeventdetails/contestid/3958951/schoolid/4333/view/contest,73,3,hartford_watervliet,,
 SemiFin, 6/3/2023, 12:00 PM, Watervliet - Baseball,, ,Coloma,8-17 ,/gameeventdetails/contestid/3958953/schoolid/0/view/contest,73,3,_coloma,,
 SemiFin, 6/3/2023, 10:00 AM, Watervliet - Baseball,Bangor,2-15 ,Bloomingdale,0-11 ,/gameeventdetails/contestid/3958952/schoolid/4282/view/contest,73,3,bangor_bloomingdale,,
 Round 1, 5/30/2023, 5:00 PM, Galesburg-Augusta High School - Baseball,Parchment,19-5 ,Kalamazoo Christian,15-10 ,/gameeventdetails/contestid/3960993/schoolid/4422/view/contest,74,3,kalamazoo christian_parchment,,
