school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Middlebury College,MID,Panthers,14 Old Chapel Road,Middlebury,VT,5753,9/1/1922,No,Private,Mike Leonard,III,New England Small College Athletic Conference
Millsaps College,MIL,Majors,1701 N. State Street,Jackson,MS,39210,9/1/1965,No,Private,Jim Page,III,Southern Athletic Association
University of Minnesota Duluth,UMD,Bulldogs,515 Darland Administration Bldg,Duluth,MN,55812,9/1/1956,No,Public,Bob Rients,II,Northern Sun Intercollegiate Conference
"University of Minnesota, Twin Cities",UMN,Golden Gophers/ Gophers,100 Church Street SE,Minneapolis,MN,55455,9/1/1906,No,Public,John R. Anderson,I,Big Ten Conference
Mississippi College,MC,"Choctaws, Lady Choctaws",200 South Capitol Street,P.O. Box 4049,Clinton,MS,9/1/1948,No,Private,Jeremy Haworth,II,Gulf South Conference
Mississippi State University,MSU,Bulldogs,Lee Blvd,Mississippi State,MS,39762,9/1/1936,No,Public,Chris Lemonis,I,Southeastern Conference
Mississippi Valley State University,MVSU,Delta Devils,14000 Highway 82 West,Itta Bena,MS,38941,9/1/1970,Yes,Public,Vacant,I,Southwestern Athletic Conf.
University of Mississippi,Ole Miss,Rebels,700 Hathorn Rd,Oxford,MS,38677,9/1/1936,No,Public,Mike Bianco,I,Southeastern Conference
"University of Missouri, Columbia",MU,Tigers,105 Jesse Hall,Columbia,MO,65211,9/1/1906,No,Public,Steve Bieser,I,Southeastern Conference
Missouri University of Science and Technology,S&T,Miners,300 W. 13th Streeet,Rolla,MO,65409,9/1/1957,No,Public,Todd DeGraffenreid,II,Great Lakes Valley Conference
University of Missouri-St. Louis,UMSL,Tritons,1 University Blvd,St. Louis,MO,63121,9/1/1970,No,Public,Scott Eul,II,Great Lakes Valley Conference
Monmouth College,Illinois,Fighting Scots,700 E. Broadway,Monmouth,IL,61462-1998,9/1/1947,No,Private,Alan Betourne,III,Midwest Conference
Monmouth University,MU,Hawks,400 Cedar Avenue,West Long Branch,NJ,7764,9/1/1967,No,Private,Dean Ehehalt,I,Colonial Athletic Association
Montclair State University,MSU,Red Hawks,1 Normal Ave.,Montclair,NJ,7043,9/1/1962,No,Public,David Lorber,III,New Jersey Athletic Conference
Moravian University,MOR,Greyhounds,1200 Main Street,Bethlehem,PA,18018-6650,9/1/1939,No,Private,Doug Coe,III,Landmark Conference
Morehead State University,MSU,Eagles,University Blvd,Morehead,KY,40351,9/1/1952,No,Public,Mikio Aoki,I,Ohio Valley Conference
Mount St. Mary's University,MSMU,Mountaineers,16300 Old Emmitsburg Road,Emmitsburg,MD,21727-7799,9/1/1954,No,Private,Frank Leoni,I,Metro Atlantic Athletic Conference
University of Mount Union,MTU,Purple Raiders,1972 Clark Avenue,Alliance,OH,44601,9/1/1951,No,Private,Paul Hesse,III,Ohio Athletic Conference
Muhlenberg College,MUHL,Mules,2400 Chew Street,Allentown,PA,18104-5586,9/1/1938,No,Private,Tod Gross,III,Centennial Conference
Murray State University,MSU,Racers,218 Wells Hall,Murray,KY,42071-3318,9/1/1951,No,Public,Daniel Skirka,I,Missouri Valley Conference
University of North Carolina Asheville,UNCA,Bulldogs,One University Heights,CPO 1400,Asheville,NC,9/1/1985,No,Public,Scott Friedholm,I,Big South Conference
"University of North Carolina, Chapel Hill",UNC,Tar Heels,200 E Cameron Ave,Chapel Hill,NC,27514,9/1/1906,No,Public,Scott Forbes,I,Atlantic Coast Conference
The University of North Carolina at Charlotte,UNCC,49ers,9201 University City Blvd.,Charlotte,NC,28223,9/1/1973,No,Public,Robert Woodard,I,Conference USA
The University of North Carolina at Greensboro,UNCG,Spartans,1000 Spring Garden St,Greensboro,NC,27402,9/1/1974,No,Public,Billy Godwin,I,Southern Conference
University of North Carolina Wilmington,UNCW,Seahawks,601 S. College Road,Wilmington,NC,28403,9/1/1969,No,Public,Randy Hood,I,Colonial Athletic Association
Nebraska Wesleyan University,NWU,Prairie Wolves,5000 St. Paul Avenue,Lincoln,NE,68504-2796,9/1/1961,No,Private,Eric Ignatowski,III,American Rivers Conference
University of Nebraska-Lincoln,UNL,Cornhuskers/ Huskers,14th and R Street,Lincoln,NE,68588,9/1/1906,No,Public,Will Bolt,I,Big Ten Conference
University of Nebraska Omaha,UNO,Mavericks,6001 Dodge St.,Sapp Fieldhouse,Omaha,NE,9/1/1973,No,Public,Evan Porter,I,The Summit League
"University of Nevada, Las Vegas",UNLV,Rebels,4505 S. Maryland Pkwy,Las Vegas,NV,89154,9/1/1958,No,Public,Stan Stolte,I,Mountain West Conference
"University of Nevada, Reno",UNR,Wolf Pack,1664 N. Virginia St,Reno,NV,89557,9/1/1953,No,Public,Jake McKinley,I,Mountain West Conference
New England College,NEC,Pilgrims,98 Bridge Street,Henniker,NH,03242-3293,9/1/1966,No,Private,Terry Doyle,III,New England Collegiate Conference
Southern New Hampshire University,SNHU,Penmen,2500 N River Rd,Manchester,NH,03106-1045,9/1/1974,No,Private,Scott Loiseau,II,Northeast-10 Conference
University of New Haven,UNH,Chargers,300 Boston Post Road,West Haven,CT,06516-1999,9/1/1967,No,Private,Chris Celano,II,Northeast-10 Conference
New Jersey Institute of Technology,NJIT,Highlanders,323 Dr. MLK Blvd,Newark,NJ,7102,9/1/1974,No,Public,Robbie McClellan,I,America East Conference
New Mexico State University,NMSU,Aggies,2850 Weddell Street,Las Cruces,NM,88003,9/1/1947,No,Public,Keith Zuniga,I,Western Athletic Conference
University of New Mexico,UNM,Lobos,1700 Lomas Blvd NE,Albuquerque,NM,87106,9/1/1939,No,Public,Tod Brown,I,Mountain West Conference
University of New Orleans,UNO,Privateers,2000 Lakeshore Dr.,Athletic Department,New Orleans,LA,9/1/1968,No,Public,Blake Dean,I,Southland Conference
The City College of New York,CCNY,Beavers,160 Convent Avenue,Marshak Science Bldg. MR - 20,New York,NY,9/1/1907,No,Public,Steve Macias,III,City University of New York Athletic Conference
Niagara University,NU,Purple Eagles,Lewiston Road,Niagara University,NY,14109,9/1/1935,No,Private,Rob McCoy,I,Metro Atlantic Athletic Conference
Nicholls State University,NSU,Colonels,University Station La Hwy 1,Thibodaux,LA,70310,9/1/1965,No,Public,Mike Silva,I,Southland Conference
Norfolk State University,NSU,Spartans,700 Park Avenue,Norfolk,VA,23504,9/1/1958,Yes,Public,Keith Shumate,I,Northeast Conference
University of North Alabama,UNA,Lions,1 Harrison Plaza,Florence,AL,35632,9/1/1971,No,Public,Jad Prachniak,I,ASUN Conference
North Carolina A&T State University,NC A&T,Aggies,1601 East Market Street,Greensboro,NC,27411,9/1/1952,Yes,Public,Ben Hall,I,Colonial Athletic Association
North Carolina State University,NCSU,Wolfpack,2101 Hillsborough Street,Raleigh,NC,27695,9/1/1941,No,Public,Elliott Avent,I,Atlantic Coast Conference
North Carolina Wesleyan College,NCWC,Battling Bishops,3400 N. Wesleyan Blvd.,Rocky Mount,NC,27804,9/1/1974,No,Private,Greg Clifton,III,USA South Athletic Conference
North Dakota State University,NDSU,Bison,1301 12th Avenue North,Fargo,ND,58108,9/1/1955,No,Public,Tyler Oakes,I,The Summit League
University of Louisiana Monroe,ULM,Warhawks,700 University Avenue,Monroe,LA,71209-3000,9/1/1965,No,Public,Michael Federico,I,Sun Belt Conference
Truman State University,TSU,Bulldogs,100 E Normal Ave,Kirksville,MO,63501,9/1/1957,No,Public,Dan Davis,II,Great Lakes Valley Conference
Northeastern University,NU,Huskies,360 Huntington Ave,Boston,MA,2115,9/1/1937,No,Private,Michael Glavine,I,Colonial Athletic Association
University of Northern Colorado,UNC,Bears,501 20th St,Greeley,CO,80639,9/1/1940,No,Public,Michael Anderson,I,The Summit League
Northern Illinois University,NIU,Huskies,1425 W. Lincoln Hwy,DeKalb,IL,60115,9/1/1951,No,Public,Michael Kunigonis,I,Mid-American Conference
Northern Kentucky University,NKU,Norse,Nunn Drive,Highland Heights,KY,41099,9/1/1974,No,Public,Dizzy Peyton,I,Horizon League
Northwestern State University,NSU,Demons,175 Sam Sibley Dr,Natchitoches,LA,71497,9/1/1965,No,Public,Vacant,I,Southland Conference
Northwestern University,NU,Wildcats,633 Clark St,Evanston,IL,60208,9/1/1908,No,Private,Jim Foster,I,Big Ten Conference
Northwood University,NU,Timberwolves,4000 Whiting Drive,Midland,MI,48640-2398,9/1/1992,No,Private,Vacant,II,Great Midwest Athletic Conference
Norwich University,NOR,Cadets,158 Harmon Dr,Northfield,VT,5663,9/1/1908,No,Private,Frank Pecora,III,Great Northeast Athletic Conference
University of Notre Dame,ND,Fighting Irish,400 Main Bldg,Notre Dame,IN,46556,9/1/1924,No,Private,Shawn Stiffler,I,Atlantic Coast Conference
Oakland University,OU,Golden Grizzlies,2200 North Squirrel Rd,Rochester Hills,MI,48309,9/1/1967,No,Public,Jordon Banfield,I,Horizon League
Ohio Northern University,ONU,Polar Bears,525 S. Main St.,Ada,OH,45810,9/1/1971,No,Private,Gene Stechschulte,III,Ohio Athletic Conference
The Ohio State University,OSU,Buckeyes,281 W Lane Ave,Columbus,OH,43210,9/1/1907,No,Public,Bill Mosiello,I,Big Ten Conference
Ohio University,OU,Bobcats,020 Chubb Hall,Athens,OH,45701,9/1/1916,No,Public,Craig Moore,I,Mid-American Conference
Oklahoma State University,OSU,Cowboys and Cowgirls,107 Whitehurst,Stillwater,OK,74078,9/1/1933,No,Public,Josh Holliday,I,Big 12 Conference
University of Oklahoma,OU,Sooners,660 Parrington Oval,Norman,OK,73019,9/1/1916,No,Public,Arthur (Skip) Johnson,I,Big 12 Conference
Old Dominion University,ODU,Monarchs,5115 Hampton Blvd.,Norfolk,VA,23529,9/1/1963,No,Public,Chris Finwood,I,Sun Belt Conference
Olivet College,OC,Comets,320 S. Main Street,Olivet,MI,49076,9/1/1963,No,Private,Santiago Mendez,III,Michigan Intercol. Ath. Assn.
State University of New York at Oneonta,OSC,Red Dragons,108 Ravine Parkway,Oneonta,NY,13820-4015,9/1/1963,No,Public,Ben Grimm,III,State University of New York Athletic Conference
Oral Roberts University,ORU,Golden Eagles,7777 S Lewis Ave,Tulsa,OK,74171,9/1/1971,No,Private,Ryan Folmar,I,The Summit League
Oregon State University,OSU,Beavers,1500 SW Jefferson Avenue,Corvallis,OR,97331,9/1/1916,No,Public,Mitch Canham,I,Pac-12 Conference
University of Oregon,UO,Ducks,110 Johnson Hall,Eugene,OR,97403,9/1/1929,No,Public,Mark Wasikowski,I,Pac-12 Conference
University of the Pacific,UOP,Tigers,3601 Pacific Ave,Stockton,CA,95211,9/1/1943,No,Private,Chris Rodriguez,I,West Coast Conference
The University of Texas Rio Grande Valley,UTRGV,Vaqueros,1201 W. University Drive,Edinburg,TX,78539,9/1/1964,No,Public,Derek Matlock,I,Western Athletic Conference
University of North Carolina at Pembroke,UNCP,Braves,1 University Dr,Pembroke,NC,28372,9/1/1975,No,Public,Paul O'Neil,II,Conference Carolinas
Pennsylvania State University,PSU,Nittany Lions,201 Old Main,University Park,PA,16802,9/1/1908,No,Public,Rob Cooper,I,Big Ten Conference
University of Pennsylvania,Penn,Quakers,235 S. 33rd Street,Philadelphia,PA,19104,9/1/1906,No,Private,John Yurkow,I,The Ivy League
Pepperdine University,PU,Waves,24255 Pacific Coast Hwy.,Malibu,CA,90263,9/1/1938,No,Private,Rick Hirtensteiner,I,West Coast Conference
University of Pittsburgh,Pitt,Panthers,4200 Fifth Avenue,Pittsburgh,PA,15260,9/1/1906,No,Public,Mike Bell,I,Atlantic Coast Conference
"University of Pittsburgh, Johnstown",UPJ,"Mountain Cats, Lady Cats",450 Schoolhouse Road,Sports Center,Johnstown,PA,9/1/1975,No,Public,Todd Williams,II,Pennsylvania State Athletic Conference
Plymouth State University,PSU,Panthers,17 High St.,Plymouth,NH,03264-1595,9/1/1966,No,Public,Ryan McIntosh,III,Little East Conference
University of Portland,UP,Pilots,5000 North Willamette Blvd,Portland,OR,97203,9/1/1952,No,Private,Geoff Loomis,I,West Coast Conference
Prairie View A&M University,PVAMU,Panthers,100 University Dr.,Prairie View,TX,77446,9/1/1951,Yes,Public,Auntwan Riggins,I,Southwestern Athletic Conf.
Princeton University,PU,Tigers,1 Nassau Hall,Princeton,NJ,8544,9/1/1913,No,Private,Scott Bradley,I,The Ivy League
University of Puget Sound,UPS,Loggers,1500 North Warner,Tacoma,WA,98416-9710,9/1/1995,No,Private,Jeff Halstead,III,Northwest Conference
Purdue University,PU,Boilermakers,610 Purdue Mall,West Lafayette,IN,47907-2040,9/1/1914,No,Public,Greg Goff,I,Big Ten Conference
Queens College,New York,Knights,65-30 Kissena Boulevard,Queens,NY,11367,9/1/1960,No,Public,Chris Reardon,II,East Coast Conference
Quincy University,QU,NCAA Applications Administrators,1800 College,Quincy,IL,62301-2699,9/1/1984,No,Private,Matthew Schissel,II,Great Lakes Valley Conference
Quinnipiac University,QU,Bobcats,Mt Carmel Ave,Hamden,CT,6518,9/1/1965,No,Private,John Delaney,I,Metro Atlantic Athletic Conference
Radford University,RU,Highlanders,801 East Main St.,University PO Box 6890,Radford,VA,9/1/1981,No,Public,Alex Guerra,I,Big South Conference
Randolph-Macon College,RMC,Yellow Jackets,204 Henry Street,Ashland,VA,23005,9/1/1956,No,Private,Ray Hedrick,III,Old Dominion Athletic Conf.
Regis University,Colorado,Rangers,3333 Regis Boulevard,Denver,CO,80221-1099,9/1/1956,No,Private,Drew LaComb,II,Rocky Mountain Athletic Conference
Rensselaer Polytechnic Institute,RPI,Engineers,110 Eighth St,Troy,NY,12180,9/1/1923,No,Private,Jason Falcon,III,Liberty League
Rhode Island College,RIC,Anchormen/Anchorwomen,600 Mt. Pleasant Ave.,Providence,RI,2908,9/1/1967,No,Public,Frank Holbrook,III,Little East Conference
University of Rhode Island,URI,Rams,Green Hall,35 Campus Ave,Kingston,RI,9/1/1926,No,Public,Raphael Cerrato,I,Atlantic 10 Conference
Rice University,RU,Owls,6100 S Main Street,Houston,TX,77005,9/1/1913,No,Private,Jose Cruz Jr,I,Conference USA
University of Richmond,UR,Spiders,410 Westhampton Way,University of Richmo,VA,23173,9/1/1947,No,Private,Mik Aoki,I,Atlantic 10 Conference
Rider University,RU,Broncs,2083 Lawrenceville Road,Lawrenceville,NJ,08648-3099,9/1/1956,No,Private,Barry Davis,I,Metro Atlantic Athletic Conference
Roanoke College,RC,Maroons,221 College Lane,Salem,VA,24153,9/1/1957,No,Private,Zach Ullrich,III,Old Dominion Athletic Conf.
Rochester Institute of Technology,RIT,Tigers,1  Lomb Memorial Drive,Rochester,NY,14623-5608,9/1/1958,No,Private,Rob Grow,III,Liberty League
University of Rochester,UR,Yellowjackets,Wilson Blvd,Rochester,NY,14627,9/1/1906,No,Private,Joe Reina,III,Liberty League
Rockford University,ROCK,Regents,5050 East State Street,Rockford,IL,61108-2393,9/1/1982,No,Private,Bob Koopmann,III,Northern Athletics Collegiate Conference
Roger Williams University,RWU,Hawks,1 Old Ferry Road,Bristol,RI,2809,9/1/1974,No,Private,Kevin Kelley,III,Commonwealth Coast Conference
Rose-Hulman Institute of Technology,RHIT,Fightin' Engineers (Elephant),5500 Wabash Avenue,Terre Haute,IN,47803,9/1/1974,No,Private,Adam Rosen,III,Heartland Collegiate Athletic Conference
"Rutgers, The State University of New Jersey, New Brunswick",RU,Scarlet Knights,83 Somerset Street,New Brunswick,NJ,8903,9/1/1906,No,Public,Steve Owens,I,Big Ten Conference
"Rutgers, The State Univ. of New Jersey, Camden",RUC,Scarlet Raptors,406 Penn,Camden,NJ,8102,9/1/1956,No,Public,Ryan Kulik,III,New Jersey Athletic Conference
Sacred Heart University,SHU,Pioneers,5151 Park Avenue,Fairfield,CT,06825-1000,9/1/1970,No,Private,Pat Egan,I,Northeast Conference
Saginaw Valley State University,SVSU,Cardinals,7400 Bay Road,University Center,MI,48710,9/1/1981,No,Public,Adam Piotrowski,II,Great Lakes Intercollegiate Athletic Conference
Saint Anselm College,STA,Hawks,100 St Anselm Dr,Manchester,NH,3102,9/1/1953,No,Private,Jerod Edmondson,II,Northeast-10 Conference
St. Bonaventure University,SBU,Bonnies,3261 W State Road,Saint Bonaventure,NY,14778,9/1/1951,No,Private,Jason Rathbun,I,Atlantic 10 Conference
St. Cloud State University,SCSU,Huskies,720 4th Avenue South,St. Cloud,MN,56301-4498,9/1/1969,No,Public,Pat Dolan,II,Northern Sun Intercollegiate Conference
Saint John's University,Minnesota,Johnnies,2850 Abbey Plaza,Collegeville,MN,56321,9/1/1976,No,Private,Jerry Haugen,III,Minnesota Intercollegiate Athletic Conference
St. John's University,New York,Red Storm,8000 Utopia Parkway,Queens,NY,11439,9/1/1938,No,Private,Mike Hampton,I,Big East Conference
Saint Joseph's College,Maine,Monks,278 Whites Bridge Road,Standish,ME,04084-5263,9/1/1974,No,Private,Will Sanborn,III,Great Northeast Athletic Conference
Saint Joseph's University,SJU,Hawks,5600 City Avenue,Philadelphia,PA,19131-1395,9/1/1939,No,Private,Fritz Hamburg,I,Atlantic 10 Conference
St. Lawrence University,SLU,Saints,23 Romoda Dr,Canton,NY,13617,9/1/1929,No,Private,Kenny Collins,III,Liberty League
Saint Louis University,SLU,Billikens,1 North Grand Blvd,Saint Louis,MO,63103,9/1/1934,No,Private,Darin Hendrickson,I,Atlantic 10 Conference
Saint Mary's College of California,SMC,Gaels,1928 St. Mary's Road,Moraga,CA,94575,9/1/1961,No,Private,Greg Moore,I,West Coast Conference
Saint Mary's University of Minnesota,SMU,Cardinals,700 Terrace Heights,Winona,MN,55987-1399,9/1/1982,No,Private,Nick Winecke,III,Minnesota Intercollegiate Athletic Conference
Saint Michael's College,SMC,Purple Knights,1 Winooski Park,Colchester,VT,5439,9/1/1951,No,Private,James Neidlinger,II,Northeast-10 Conference
St. Norbert College,SNC,Green Knights,100 Grant Street,De Pere,WI,54115,9/1/1952,No,Private,Mike Wallerich,III,Northern Athletics Collegiate Conference
St. Olaf College,STO,Oles,1520 St. Olaf Avenue,Northfield,MN,55057-1098,9/1/1954,No,Private,Matt McDonald,III,Minnesota Intercollegiate Athletic Conference
Saint Peter's University,SPU,Peacocks,2641 Kennedy Blvd.,Jersey City,NJ,7306,9/1/1951,No,Private,Grant Neary,I,Metro Atlantic Athletic Conference
The College of St. Scholastica,CSS,Saints,1200 Kenwood Avenue,Duluth,MN,55811-4199,9/1/1979,No,Private,Vacant,III,Minnesota Intercollegiate Athletic Conference
University of St. Thomas,Minnesota,Tommies,2115 Summit Ave.,St. Paul,MN,55105,9/1/1964,No,Private,Chris Olean,I,The Summit League
Salisbury University,SU / SAL,Sea Gulls,1101 Camden Avenue,Salisbury,MD,21801-6860,9/1/1974,No,Public,Michael 'Troy' Brohawn,III,Coast-To-Coast Athletic Conference
Sam Houston State University,SHSU,Bearkats,1806 Ave J,Huntsville,TX,77340,9/1/1981,No,Public,Jay Sirianni,I,Western Athletic Conference
Samford University,SU,Bulldogs,800 Lakeshore Drive,Birmingham,AL,35229,9/1/1971,No,Private,Tony David,I,Southern Conference
San Diego State University,SDSU,Aztecs,5500 Campanile Drive,San Diego,CA,92182,9/1/1947,No,Public,Mark Martinez,I,Mountain West Conference
University of San Diego,USD,Toreros,5998 Alcala Park,San Diego,CA,92110-2492,9/1/1961,No,Private,Brock Ungricht,I,West Coast Conference
University of San Francisco,USF,Dons,2130 Fulton Street,San Francisco,CA,94117-1080,9/1/1941,No,Private,Rob DiToma,I,West Coast Conference
San Jose State University,SJSU,Spartans,1 Washington Square,San Jose,CA,95192,9/1/1936,No,Public,Brad Sanfilippo,I,Mountain West Conference
Santa Clara University,SCU,Broncos,500 El Camino Real,Santa Clara,CA,95053-1100,9/1/1938,No,Private,Rusty Filter,I,West Coast Conference
Savannah State University,SSU,Tigers,3219 College St,Savannah,GA,31404,9/1/1952,Yes,Public,Carlton Hardy,II,Southern Intercol. Ath. Conf.
University of Scranton,SCR,Royals/Lady Royals,800 Linden Street,Scranton,PA,18510,9/1/1951,No,Private,Mike Bartoletti,III,Landmark Conference
Seton Hall University,SHU,Pirates,400 South Orange Avenue,South Orange,NJ,7079,9/1/1946,No,Private,Rob Sheppard,I,Big East Conference
Shenandoah University,SU,Hornets,1460 University Drive,Winchester,VA,22601,9/1/1983,No,Private,Kevin Anderson,III,Old Dominion Athletic Conf.
Shippensburg University of Pennsylvania,SHIP,Raiders,1871 Old Main Drive,Shippensburg,PA,17257,9/1/1948,No,Public,Matt Jones,II,Pennsylvania State Athletic Conference
