Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 SemiFin, 6/3/2023, 12:00 PM, Galesburg-Augusta High School - Baseball, Climax-Scotts ,12-3 , Comstock ,2-11 ,/gameeventdetails/contestid/3960994/schoolid/4214/view/contest,74 ,3
 SemiFin, 6/2/2023, 10:00 AM, Lockhart Field - Frankfort, Maple City Glen Lake ,18-5 , Lake Leelanau St Mary ,5-9-1 ,/gameeventdetails/contestid/3961111/schoolid/3954/view/contest,05 ,4
 SemiFin, 6/2/2023, 12:00 PM, Lockhart Field - Frankfort, Frankfort ,4-8 , Suttons Bay ,1-10 ,/gameeventdetails/contestid/3961110/schoolid/4519/view/contest,05 ,4
 SemiFin, 6/2/2023, 10:00 AM, Marion Athletic Complex - Baseball, Mesick ,13-5 , Buckley ,1-9 ,/gameeventdetails/contestid/3961114/schoolid/4482/view/contest,06 ,4
 SemiFin, 6/2/2023, 12:00 PM, Marion Athletic Complex - Baseball, Marion ,8-0 , Fife Lake Forest Area ,0-12 ,/gameeventdetails/contestid/3961113/schoolid/4262/view/contest,06 ,4
 Round 1, 5/30/2023, 4:30 PM, Fowler High School, Portland St Patrick ,10-5 , Fowler ,17-5 ,/gameeventdetails/contestid/3961128/schoolid/3942/view/contest,11 ,4
 SemiFin, 6/3/2023, 10:00 AM, Fowler High School,  , , Ashley ,3-13 ,/gameeventdetails/contestid/3961130/schoolid/0/view/contest,11 ,4
 SemiFin, 6/3/2023, 12:00 PM, Fowler High School, Fulton ,13-11 , Carson City-Crystal ,19-8 ,/gameeventdetails/contestid/3961129/schoolid/4504/view/contest,11 ,4
 SemiFin, 6/3/2023, 9:00 AM, Lansing Christian High School, Potterville ,1-16 , Lansing Christian ,5-9-1 ,/gameeventdetails/contestid/3961133/schoolid/4283/view/contest,12 ,4
 SemiFin, 6/3/2023, 11:30 AM, Lansing Christian High School, Morrice ,11-6 , Webberville ,8-9 ,/gameeventdetails/contestid/3961132/schoolid/4486/view/contest,12 ,4
 Round 1, 5/30/2023, 4:30 PM, Oxford High School - Baseball, Fenton ,10-5 , Holly ,8-7 ,/gameeventdetails/contestid/3960839/schoolid/4321/view/contest,31 ,1
 SemiFin, 6/3/2023, 10:00 AM, Oxford High School - Baseball,  , , Oxford ,10-5 ,/gameeventdetails/contestid/3960841/schoolid/0/view/contest,31 ,1
 SemiFin, 6/3/2023, 12:30 PM, Oxford High School - Baseball, Clarkston ,12-12 , Grand Blanc ,7-7-2 ,/gameeventdetails/contestid/3960840/schoolid/4052/view/contest,31 ,1
 Round 1, 5/30/2023, 4:00 PM, Flushing High School - Baseball, Flushing ,21-8 , Flint Carman-Ainsworth ,2-21 ,/gameeventdetails/contestid/3960843/schoolid/3991/view/contest,32 ,1
 SemiFin, 6/3/2023, 10:00 AM, Flushing High School - Baseball,  , , Swartz Creek ,10-9 ,/gameeventdetails/contestid/3960845/schoolid/0/view/contest,32 ,1
 SemiFin, 6/3/2023, 12:15 PM, Flushing High School - Baseball, Davison ,6-3 , Lapeer ,2-8 ,/gameeventdetails/contestid/3960844/schoolid/4079/view/contest,32 ,1
 Round 1, 5/26/2023, 4:00 PM, Romeo HS - Baseball, Romeo ,11-5-1 , Rochester ,19-10 ,/gameeventdetails/contestid/3960823/schoolid/4373/view/contest,27 ,1
 SemiFin, 6/2/2023, 10:00 AM, Romeo HS - Baseball,  , , Rochester Adams ,17-6 ,/gameeventdetails/contestid/3960825/schoolid/0/view/contest,27 ,1
 SemiFin, 6/2/2023, 12:30 PM, Romeo HS - Baseball, Rochester Hills Stoney Creek ,6-20 , Utica Eisenhower ,3-12 ,/gameeventdetails/contestid/3960824/schoolid/4047/view/contest,27 ,1
 Round 1, 5/30/2023, 4:30 PM, Auburn Hills Avondale, Auburn Hills Avondale ,15-8 , Troy Athens ,11-8 ,/gameeventdetails/contestid/3960827/schoolid/4010/view/contest,28 ,1
 SemiFin, 6/3/2023, 10:00 AM, Auburn Hills Avondale,  , , Troy ,11-9-1 ,/gameeventdetails/contestid/3960829/schoolid/0/view/contest,28 ,1
 SemiFin, 6/3/2023, 12:00 PM, Auburn Hills Avondale, Bloomfield Hills ,17-7-1 , Utica ,6-15 ,/gameeventdetails/contestid/3960828/schoolid/9195/view/contest,28 ,1
 Round 1, 5/30/2023, 4:00 PM, Conlee Field - Clio, Flint Hamady ,0-9 , Birch Run ,0-19 ,/gameeventdetails/contestid/3960951/schoolid/4090/view/contest,63 ,2
 SemiFin, 6/3/2023, 10:00 AM, Conlee Field - Clio,  , , Frankenmuth ,12-7-2 ,/gameeventdetails/contestid/3960953/schoolid/0/view/contest,63 ,2
 SemiFin, 6/3/2023, 12:00 PM, Conlee Field - Clio, Flint Kearsley ,9-9 , Clio ,1-11 ,/gameeventdetails/contestid/3960952/schoolid/4247/view/contest,63 ,2
 SemiFin, 6/3/2023, 10:00 AM, Swan Valley High School - Saginaw, Carrollton ,8-18 , Saginaw Swan Valley ,17-8-1 ,/gameeventdetails/contestid/3960956/schoolid/4419/view/contest,64 ,2
 SemiFin, 6/3/2023, 12:00 PM, Swan Valley High School - Saginaw, Saginaw Arthur Hill ,0-8 , Bridgeport ,0-9 ,/gameeventdetails/contestid/3960955/schoolid/4251/view/contest,64 ,2
 Round 1, 5/30/2023, 5:00 PM, North Branch High School - Baseball, Yale ,9-9 , Armada ,3-12 ,/gameeventdetails/contestid/3960935/schoolid/4485/view/contest,59 ,2
 SemiFin, 6/2/2023, 12:00 PM, North Branch High School - Baseball,  , , Croswell-Lexington ,5-13 ,/gameeventdetails/contestid/3960937/schoolid/0/view/contest,59 ,2
 SemiFin, 6/2/2023, 2:30 PM, North Branch High School - Baseball, Imlay City ,1-13 , North Branch ,21-3 ,/gameeventdetails/contestid/3960936/schoolid/4198/view/contest,59 ,2
 Round 1, 5/30/2023, 4:00 PM, Goodrich High School - Baseball, Bloomfield Hills Cranbrook Kingswood ,5-9 , Ortonville Brandon ,3-9 ,/gameeventdetails/contestid/3960939/schoolid/4487/view/contest,60 ,2
 SemiFin, 6/3/2023, 10:00 AM, Goodrich High School - Baseball,  , , Pontiac Notre Dame Prep ,10-10 ,/gameeventdetails/contestid/3960941/schoolid/0/view/contest,60 ,2
 SemiFin, 6/3/2023, 12:00 PM, Goodrich High School - Baseball, Detroit Country Day ,7-5-1 , Goodrich ,7-4 ,/gameeventdetails/contestid/3960940/schoolid/4179/view/contest,60 ,2
 Round 1, 5/30/2023, 4:30 PM, Delton-Kellogg High School (Baseball Diamond), Lansing Catholic ,13-3 , Delton Kellogg ,8-10 ,/gameeventdetails/contestid/3961012/schoolid/4003/view/contest,79 ,3
 SemiFin, 6/3/2023, 10:00 AM, Maplewood Elementary (Griswald Field) - Vermontville,  , , Springport ,1-17-1 ,/gameeventdetails/contestid/3961014/schoolid/0/view/contest,79 ,3
 SemiFin, 6/3/2023, 12:00 PM, Maplewood Elementary (Griswald Field) - Vermontville, Vermontville Maple Valley ,16-4 , Pewamo-Westphalia ,10-5 ,/gameeventdetails/contestid/3961013/schoolid/3849/view/contest,79 ,3
 Round 1, 5/30/2023, 4:15 PM, Grand Rapids West Catholic High School (Baseball Diamond), Grand Rapids West Catholic ,8-12 , Central Montcalm ,14-8-2 ,/gameeventdetails/contestid/3961016/schoolid/4353/view/contest,80 ,3
 SemiFin, 6/3/2023, 10:00 AM, Grand Rapids West Catholic High School (Baseball Diamond),  , , Grand Rapids NorthPointe Christian ,12-3 ,/gameeventdetails/contestid/3961018/schoolid/0/view/contest,80 ,3
 SemiFin, 6/3/2023, 12:00 PM, Grand Rapids West Catholic High School (Baseball Diamond), Saranac ,6-9 , Lakeview ,8-15-1 ,/gameeventdetails/contestid/3961017/schoolid/4295/view/contest,80 ,3
 Round 1, 5/30/2023, 4:30 PM, Calvin Christian HS - Baseball - Grandville, Holland Black River ,5-9 , Fennville ,10-14 ,/gameeventdetails/contestid/3960997/schoolid/3865/view/contest,75 ,3
 SemiFin, 6/3/2023, 12:00 PM, Calvin Christian HS - Baseball - Grandville,  , , Grand Rapids Covenant Christian ,7-4 ,/gameeventdetails/contestid/3960999/schoolid/0/view/contest,75 ,3
 SemiFin, 6/3/2023, 10:00 AM, Calvin Christian HS - Baseball - Grandville, Saugatuck ,1-13 , Grandville Calvin Christian ,19-10 ,/gameeventdetails/contestid/3960998/schoolid/4055/view/contest,75 ,3
 SemiFin, 6/3/2023, 10:00 AM, Ravenna Citizen's Field, North Muskegon ,22-5-1 , Kent City ,13-10-2 ,/gameeventdetails/contestid/3961002/schoolid/4392/view/contest,76 ,3
 SemiFin, 6/3/2023, 12:00 PM, Ravenna Citizen's Field, Ravenna ,11-10 , Montague ,14-9 ,/gameeventdetails/contestid/3961001/schoolid/4563/view/contest,76 ,3
 Round 1, 5/30/2023, 4:00 PM, Beal City High School - Baseball - Mt. Pleasant-Beal City, Coleman ,5-16 , Farwell ,0-8 ,/gameeventdetails/contestid/3961120/schoolid/3846/view/contest,09 ,4
 SemiFin, 6/3/2023, 10:00 AM, Beal City High School - Baseball - Mt. Pleasant-Beal City,  , , Mount Pleasant Sacred Heart ,21-7 ,/gameeventdetails/contestid/3961122/schoolid/0/view/contest,09 ,4
 SemiFin, 6/3/2023, 12:00 PM, Beal City High School - Baseball - Mt. Pleasant-Beal City, Beal City ,15-4 , Vestaburg ,0-11 ,/gameeventdetails/contestid/3961121/schoolid/4285/view/contest,09 ,4
 Round 1, 5/30/2023, 4:00 PM, Breckenridge Community Schools - Baseball, Breckenridge ,7-11 , Merrill ,19-6-1 ,/gameeventdetails/contestid/3961124/schoolid/4562/view/contest,10 ,4
 SemiFin, 6/3/2023, 10:00 AM, Breckenridge Community Schools - Baseball,  , , Saginaw Nouvel ,7-16 ,/gameeventdetails/contestid/3961126/schoolid/0/view/contest,10 ,4
 SemiFin, 6/3/2023, 12:00 PM, Breckenridge Community Schools - Baseball, St Charles ,1-19 , Saginaw Michigan Lutheran Seminary ,9-11-1 ,/gameeventdetails/contestid/3961125/schoolid/4294/view/contest,10 ,4
 Round 1, 5/30/2023, 4:30 PM, Brethren, Mason County Eastern ,4-4 , Manistee Catholic Central ,0-4 ,/gameeventdetails/contestid/3961116/schoolid/4365/view/contest,07 ,4
 SemiFin, 6/2/2023, 10:00 AM, Brethren,  , , Brethren ,0-8 ,/gameeventdetails/contestid/3961118/schoolid/0/view/contest,07 ,4
 SemiFin, 6/2/2023, 12:00 PM, Brethren, Pentwater ,0-6 , Bear Lake ,11-4-1 ,/gameeventdetails/contestid/3961117/schoolid/4520/view/contest,07 ,4
 Round 1, 5/30/2023, 4:00 PM, Warrior Field - Norton Shores, Baldwin ,0-4 , Holton ,1-22-1 ,/gameeventdetails/contestid/3958938/schoolid/4162/view/contest,08 ,4
 SemiFin, 6/3/2023, 12:00 PM, Warrior Field - Norton Shores, Muskegon Catholic Central ,21-3-1 ,  , ,/gameeventdetails/contestid/3958940/schoolid/3888/view/contest,08 ,4
 SemiFin, 6/3/2023, 2:00 PM, Warrior Field - Norton Shores, Blanchard Montabella ,3-11 , Muskegon Western Michigan Christian ,6-9-2 ,/gameeventdetails/contestid/3958939/schoolid/4234/view/contest,08 ,4
 Round 1, 5/30/2023, 4:30 PM, Monroe High School - Baseball, Ypsilanti Community ,0-17 , Monroe ,15-7-1 ,/gameeventdetails/contestid/3960783/schoolid/9197/view/contest,13 ,1
 SemiFin, 6/3/2023, 10:00 AM, Monroe High School - Baseball,  , , Belleville ,9-12 ,/gameeventdetails/contestid/3960785/schoolid/0/view/contest,13 ,1
 SemiFin, 6/3/2023, 12:00 PM, Monroe High School - Baseball, Ypsilanti Lincoln ,12-11 , Temperance Bedford ,15-13 ,/gameeventdetails/contestid/3960784/schoolid/4416/view/contest,13 ,1
 Round 1, 5/30/2023, 4:30 PM, Livonia Franklin, Dearborn Heights Crestwood ,8-6 , Redford Thurston ,7-10 ,/gameeventdetails/contestid/3960787/schoolid/4355/view/contest,14 ,1
 SemiFin, 6/3/2023, 2:30 PM, Livonia Franklin,  , , Livonia Franklin ,15-5 ,/gameeventdetails/contestid/3960789/schoolid/0/view/contest,14 ,1
 SemiFin, 6/3/2023, 4:30 PM, Livonia Franklin, Wayne Memorial ,4-12-1 , Westland John Glenn ,4-7 ,/gameeventdetails/contestid/3960788/schoolid/3884/view/contest,14 ,1
 Round 1, 5/30/2023, 4:30 PM, DeWitt High School (Baseball Diamond), Lansing Waverly ,13-8 , DeWitt ,6-8 ,/gameeventdetails/contestid/3960765/schoolid/4011/view/contest, 9 ,1
 Round 1, 5/30/2023, 4:30 PM, MacDonald Middle School - East Lansing, East Lansing ,6-13-1 , Okemos ,18-4-1 ,/gameeventdetails/contestid/3960766/schoolid/4163/view/contest, 9 ,1
 SemiFin, 6/3/2023, 10:00 AM, DeWitt High School (Baseball Diamond),  , , Grand Ledge ,11-8 ,/gameeventdetails/contestid/3960769/schoolid/0/view/contest, 9 ,1
 SemiFin, 6/3/2023, 12:00 PM, DeWitt High School (Baseball Diamond), Lansing Everett ,0-12 ,  , ,/gameeventdetails/contestid/3960767/schoolid/3882/view/contest, 9 ,1
 Round 1, 5/30/2023, 5:00 PM, Battle Creek Lakeview High School (Baseball Diamond), Battle Creek Lakeview ,26-2 , Holt ,5-10 ,/gameeventdetails/contestid/3960771/schoolid/4019/view/contest,10 ,1
 SemiFin, 6/3/2023, 10:00 AM, Glick Community Field - Jackson,  , , Jackson ,2-11 ,/gameeventdetails/contestid/3960773/schoolid/0/view/contest,10 ,1
 SemiFin, 6/3/2023, 12:00 PM, Glick Community Field - Jackson, Battle Creek Central ,1-12 , Jackson Northwest ,4-4 ,/gameeventdetails/contestid/3960772/schoolid/4032/view/contest,10 ,1
 Round 1, 5/30/2023, 4:00 PM, Divine Child High School - Dearborn (Baseball Diamond), Dearborn Divine Child ,12-10 , Dearborn Henry Ford Academy ,0-9 ,/gameeventdetails/contestid/3960913/schoolid/4190/view/contest,53 ,2
 SemiFin, 6/3/2023, 12:00 PM, Divine Child High School - Dearborn (Baseball Diamond),  , , Dearborn Heights Annapolis ,11-6 ,/gameeventdetails/contestid/3960915/schoolid/0/view/contest,53 ,2
 SemiFin, 6/3/2023, 10:00 AM, Divine Child High School - Dearborn (Baseball Diamond), Melvindale ,6-9 , Garden City ,4-5-1 ,/gameeventdetails/contestid/3960914/schoolid/4560/view/contest,53 ,2
 SemiFin, 6/3/2023, 10:00 AM, Baseball Field - Livonia, Livonia Clarenceville ,4-9 , Detroit Cody ,0-4 ,/gameeventdetails/contestid/3960918/schoolid/4316/view/contest,54 ,2
 SemiFin, 6/3/2023, 12:00 PM, Baseball Field - Livonia, Detroit Henry Ford ,2-5 , Redford Union ,1-10-1 ,/gameeventdetails/contestid/3960917/schoolid/4272/view/contest,54 ,2
 SemiFin, 6/2/2023, 10:00 AM, Mason High School - Baseball, Chelsea ,17-10 , Pinckney ,11-13 ,/gameeventdetails/contestid/3960905/schoolid/3912/view/contest,49 ,2
 SemiFin, 6/2/2023, 12:00 PM, Mason High School - Baseball, Ann Arbor Father Gabriel Richard ,12-10 , Mason ,4-7 ,/gameeventdetails/contestid/3960904/schoolid/4579/view/contest,49 ,2
 SemiFin, 6/3/2023, 10:00 AM, Cliff Nelson Field - Adrian, Milan ,14-9 , Tecumseh ,15-8 ,/gameeventdetails/contestid/3960908/schoolid/4005/view/contest,50 ,2
 SemiFin, 6/3/2023, 12:00 PM, Cliff Nelson Field - Adrian, Dundee ,11-9 , Adrian ,16-6 ,/gameeventdetails/contestid/3960907/schoolid/4231/view/contest,50 ,2
 SemiFin, 6/3/2023, 10:00 AM, Grass Lake High School - Baseball, Stockbridge ,2-9 , Grass Lake ,18-5 ,/gameeventdetails/contestid/3961036/schoolid/4524/view/contest,85 ,3
 SemiFin, 6/3/2023, 12:00 PM, Grass Lake High School - Baseball, Leslie ,7-12 , Dansville ,9-12 ,/gameeventdetails/contestid/3961035/schoolid/4278/view/contest,85 ,3
 Round 1, 5/30/2023, 4:30 PM, Clinton High School - Baseball, Clinton ,19-1 , Onsted ,11-8 ,/gameeventdetails/contestid/3961038/schoolid/3910/view/contest,86 ,3
 SemiFin, 6/3/2023, 10:00 AM, Clinton High School - Baseball,  , , Adrian Madison ,15-8 ,/gameeventdetails/contestid/3961040/schoolid/0/view/contest,86 ,3
 SemiFin, 6/3/2023, 12:00 PM, Clinton High School - Baseball, Hudson ,7-6 , Manchester ,6-8 ,/gameeventdetails/contestid/3961039/schoolid/4503/view/contest,86 ,3
 Round 1, 5/30/2023, 4:30 PM, Bridgman HS, Niles Brandywine ,16-4 , Cassopolis ,3-6 ,/gameeventdetails/contestid/3961020/schoolid/4375/view/contest,81 ,3
 SemiFin, 6/3/2023, 10:00 AM, Bridgman HS,  , , Buchanan ,7-14 ,/gameeventdetails/contestid/3961022/schoolid/0/view/contest,81 ,3
 SemiFin, 6/3/2023, 12:00 PM, Bridgman HS, Lawton ,0-14 , Bridgman ,12-5 ,/gameeventdetails/contestid/3961021/schoolid/4500/view/contest,81 ,3
 Round 1, 5/30/2023, 4:30 PM, Schoolcraft High School, Centreville ,11-0-1 , Schoolcraft ,12-8 ,/gameeventdetails/contestid/3961024/schoolid/3915/view/contest,82 ,3
 SemiFin, 6/3/2023, 10:00 AM, Schoolcraft High School,  , , Union City ,17-6 ,/gameeventdetails/contestid/3961026/schoolid/0/view/contest,82 ,3
 SemiFin, 6/3/2023, 12:00 PM, Schoolcraft High School, Constantine ,7-14 , Bronson ,2-10 ,/gameeventdetails/contestid/3961025/schoolid/4460/view/contest,82 ,3
 SemiFin, 6/3/2023, 10:00 AM, Harbor Beach HS, Kinde North Huron ,2-13 , Deckerville ,5-11 ,/gameeventdetails/contestid/3961165/schoolid/4217/view/contest,21 ,4
 SemiFin, 6/3/2023, 12:00 PM, Harbor Beach HS, Harbor Beach ,1-15 , Ubly ,17-6 ,/gameeventdetails/contestid/3961164/schoolid/4398/view/contest,21 ,4
 Round 1, 5/30/2023, 4:00 PM, Kingston High School - Baseball, Caseville ,0-13 , Bay City All Saints ,12-9 ,/gameeventdetails/contestid/3961167/schoolid/4533/view/contest,22 ,4
 Round 1, 5/30/2023, 6:00 PM, Kingston High School - Baseball, Unionville-Sebewaing ,9-12 , Kingston ,11-5 ,/gameeventdetails/contestid/3961168/schoolid/4192/view/contest,22 ,4
 SemiFin, 6/2/2023, 11:00 AM, Kingston High School - Baseball,  , , Akron-Fairgrove ,2-9 ,/gameeventdetails/contestid/3961170/schoolid/0/view/contest,22 ,4
 SemiFin, 6/2/2023, 1:00 PM, Kingston High School - Baseball, Mayville ,10-8 ,  , ,/gameeventdetails/contestid/3961169/schoolid/4508/view/contest,22 ,4
 Round 1, 5/30/2023, 4:30 PM, Gabriel Richard HS - Softball - Riverview, Allen Park Cabrini ,4-15 , Allen Park Inter-City Baptist ,8-3 ,/gameeventdetails/contestid/3958944/schoolid/3976/view/contest,27 ,4
 SemiFin, 6/3/2023, 9:30 AM, Gabriel Richard HS - Softball - Riverview,  , , Detroit Academy of the Americas ,12-0 ,/gameeventdetails/contestid/3958946/schoolid/0/view/contest,27 ,4
 SemiFin, 6/3/2023, 11:30 AM, Gabriel Richard HS - Softball - Riverview, Riverview Gabriel Richard ,3-12 , Taylor Trillium Academy ,1-6 ,/gameeventdetails/contestid/3958945/schoolid/4202/view/contest,27 ,4
 Round 1, 5/30/2023, 4:30 PM, Stafford Field - Canton, Westland Huron Valley Lutheran ,0-9 , Lutheran Westland ,1-14 ,/gameeventdetails/contestid/3961185/schoolid/4558/view/contest,28 ,4
 SemiFin, 6/3/2023, 10:00 AM, Stafford Field - Canton,  , , Novi Christian Academy ,7-6 ,/gameeventdetails/contestid/3961187/schoolid/0/view/contest,28 ,4
 SemiFin, 6/3/2023, 12:00 PM, Stafford Field - Canton, Whitmore Lake ,7-7 , Plymouth Christian Academy ,17-6 ,/gameeventdetails/contestid/3961186/schoolid/4086/view/contest,28 ,4
 Round 1, 5/30/2023, 4:30 PM, Northville High School - Baseball, Plymouth ,15-12 , Livonia Churchill ,18-8-1 ,/gameeventdetails/contestid/3960791/schoolid/4050/view/contest,15 ,1
 SemiFin, 6/3/2023, 10:00 AM, Northville High School - Baseball,  , , Canton ,9-16 ,/gameeventdetails/contestid/3960793/schoolid/0/view/contest,15 ,1
 SemiFin, 6/3/2023, 12:00 PM, Northville High School - Baseball, Salem ,7-9 , Northville ,21-2 ,/gameeventdetails/contestid/3960792/schoolid/4142/view/contest,15 ,1
 Round 1, 5/30/2023, 4:30 PM, Adlai E Stevenson HS - Livonia, Farmington ,9-13 , Detroit Catholic Central ,16-11 ,/gameeventdetails/contestid/3958975/schoolid/4350/view/contest,16 ,1
 SemiFin, 6/3/2023, 11:00 AM, Adlai E Stevenson HS - Livonia,  , , North Farmington ,4-18 ,/gameeventdetails/contestid/3958977/schoolid/0/view/contest,16 ,1
 SemiFin, 6/3/2023, 1:00 PM, Adlai E Stevenson HS - Livonia, Novi ,10-5 , Livonia Stevenson ,12-17 ,/gameeventdetails/contestid/3958976/schoolid/3933/view/contest,16 ,1
 Round 1, 5/30/2023, 4:30 PM, BHS Baseball - Brighton, Brighton ,18-7 , South Lyon East ,5-14-1 ,/gameeventdetails/contestid/3960775/schoolid/3834/view/contest,11 ,1
 SemiFin, 6/3/2023, 10:00 AM, BHS Baseball - Brighton,  , , Howell ,11-7 ,/gameeventdetails/contestid/3960777/schoolid/0/view/contest,11 ,1
 SemiFin, 6/3/2023, 12:00 PM, BHS Baseball - Brighton, Hartland ,10-6 , South Lyon ,16-7 ,/gameeventdetails/contestid/3960776/schoolid/4450/view/contest,11 ,1
 Round 1, 5/30/2023, 4:30 PM, Saline High School - Baseball, Saline ,18-10 , Ann Arbor Huron ,3-17 ,/gameeventdetails/contestid/3960779/schoolid/4427/view/contest,12 ,1
 SemiFin, 6/3/2023, 10:00 AM, Saline High School - Baseball,  , , Ann Arbor Skyline ,11-16 ,/gameeventdetails/contestid/3960781/schoolid/0/view/contest,12 ,1
 SemiFin, 6/3/2023, 12:30 PM, Saline High School - Baseball, Ann Arbor Pioneer ,8-20 , Dexter ,8-7 ,/gameeventdetails/contestid/3960780/schoolid/4134/view/contest,12 ,1
 Round 1, 5/25/2023, 4:30 PM," University Liggett School - Baseball - Grosse Pointe Woods, MI 48236", St Clair Shores South Lake ,1-6 , Harper Woods Chandler Park ,1-11 ,/gameeventdetails/contestid/3960921/schoolid/3992/view/contest,56 ,2
 SemiFin, 6/3/2023, 10:00 AM," University Liggett School - Baseball - Grosse Pointe Woods, MI 48236",  , , Detroit Denby ,2-4 ,/gameeventdetails/contestid/3960925/schoolid/0/view/contest,56 ,2
 SemiFin, 6/3/2023, 12:00 PM," University Liggett School - Baseball - Grosse Pointe Woods, MI 48236", Detroit East English ,8-2 , Grosse Pointe Woods University Liggett ,15-8 ,/gameeventdetails/contestid/3960924/schoolid/8950/view/contest,56 ,2
 SemiFin, 6/3/2023, 10:00 AM, Airport High School - Carleton (Varsity Baseball Field), New Boston Huron ,15-5 , Flat Rock ,10-8 ,/gameeventdetails/contestid/3960911/schoolid/3943/view/contest,51 ,2
 SemiFin, 6/3/2023, 12:30 PM, Airport High School - Carleton (Varsity Baseball Field), Monroe Jefferson ,7-18 , Carleton Airport ,20-4 ,/gameeventdetails/contestid/3960910/schoolid/4513/view/contest,51 ,2
